ta;Ubike;Ibike;Ua;Ia1;Ia2;Ia3;Sa1;Sa2;Sa3;Din1;DMka;DZka;Ika;Din2;Temp1;Temp2;Bpos;DMhr;v;dzp;Temp3;Pbike;Pa1;Pa2;Pa3;s;FW;UF;Marke;ERR
25838;0,0;-0,01;42,02;-0,68;0,02;0,05;1050;0;0;0;8,73;25,7;71;32;254,0;254,0;0;0,25;4,8;18;90,5;-0,0;23,48;0,67;1,62;18,85;12,39;-0,0;0;0
25848;0,0;-0,02;42,01;-0,46;0,01;0,24;1050;0;0;0;8,61;25,7;71;32;254,0;254,0;0;0,25;4,8;18;90,5;-0,0;23,17;0,46;8,09;18,85;12,44;-0,0;0;0
25858;0,0;-0,01;42,02;-0,64;0,01;0,15;1050;0;0;0;8,4;25,7;71;32;254,0;254,0;0;0,25;4,8;19;90,5;-0,0;22,6;0,46;5,08;18,89;12,49;-0,0;0;0
25868;0,0;-0,01;42,0;-0,73;0,0;0,24;1050;0;0;0;8,23;25,7;71;32;254,0;254,0;0;0,25;4,8;19;90,5;-0,0;22,14;0,04;8,08;18,89;12,54;-0,0;0;0
25878;0,0;-0,03;42,02;-0,48;0,02;0,08;1000;0;0;0;8,53;24,5;0;32;254,0;254,0;0;0,25;4,8;19;90,5;-0,0;21,87;0,67;2,77;18,89;12,59;-0,0;0;0
25888;0,0;-0,02;42,0;-0,7;-0,0;0,11;1000;0;0;0;7,95;24,5;0;32;254,0;254,0;0;0,25;4,8;20;90,5;-0,0;20,4;0,17;3,7;18,93;12,63;-0,0;0;0
25898;0,0;-0,02;42,01;-0,46;0,0;0,02;1000;0;0;0;7,96;24,5;0;32;254,0;254,0;0;0,24;4,8;20;90,5;-0,0;20,41;0,04;0,69;18,93;12,67;-0,0;0;0
25908;0,0;-0,01;42,02;-0,52;0,05;0,13;1000;0;0;0;7,29;24,6;1;32;254,0;254,0;0;0,24;4,8;20;90,5;-0,0;18,79;1,51;4,39;18,93;12,71;-0,0;0;0
25918;0,0;-0,03;42,02;-0,52;0,01;0,05;1000;0;0;0;7,03;24,6;1;32;254,0;254,0;0;0,24;4,8;21;90,5;-0,0;18,1;0,25;1,85;18,97;12,74;-0,0;0;0
25928;0,0;-0,02;42,01;-0,51;0,01;0,15;1000;0;0;0;6,54;24,6;1;32;254,0;254,0;0;0,24;4,8;21;90,5;-0,0;16,86;0,46;5,08;18,97;12,78;-0,0;0;0
